Occupancy,P(t),Norm_P(t),P(t)-P(t+1),P(t)-P(t-1),label
0,44.902,-0.047891,0.0,0.0,4
0,62.53,0.20383,0.0,0.0,4
1,60.65,0.17698,0.0,0.0,3
1,36.52,-0.16758,0.0,0.0,0
0,37.87,-0.14831,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
0,59.04,0.15399,0.0,0.0,4
0,60.115,0.16934,0.0,0.0,4
1,53.68,0.077455,0.0,0.0,0
1,57.44,0.13115,0.0,0.0,0
0,61.99,0.19612,0.0,0.0,4
0,41.35,-0.098612,0.0,0.0,4
0,37.33,-0.15602,0.0,0.0,4
0,61.99,0.19612,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,38.13,-0.14459,0.0,0.0,0
0,57.032,0.12532,0.0,0.0,4
1,14.01,-0.48902,0.0,0.0,0
0,52.168,0.055864,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
0,56.1,0.11201,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
0,57.622,0.13375,0.0,0.0,4
0,63.33,0.21525,0.0,0.0,4
1,52.177,0.055993,0.0,0.0,0
0,62.53,0.20383,0.0,0.0,4
0,46.44,-0.025929,0.0,46.44,4
0,39.034,-0.13168,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
0,31.09,-0.24512,0.0,0.0,4
0,62.26,0.19997,0.0,0.0,4
1,62.845,0.20833,0.0,0.0,3
0,62.53,0.20383,0.0,0.0,4
0,50.797,0.036287,0.0,0.0,4
1,52.07,0.054465,0.0,0.0,0
1,56.1,0.11201,0.0,0.0,0
1,63.07,0.21154,0.0,0.0,3
0,47.25,-0.014363,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
0,61.46,0.18855,0.0,0.0,4
1,40.55,-0.11004,0.0,0.0,0
0,37.33,-0.15602,0.0,0.0,4
1,37.6,-0.15216,0.0,0.0,0
1,49.969,0.024464,0.0,0.0,0
1,0.0,-0.68907,-62.8,-62.8,1
0,43.712,-0.064884,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
1,61.99,0.19612,0.0,0.0,3
0,61.99,0.19612,61.99,0.0,2
0,36.79,-0.16373,0.0,0.0,4
0,62.244,0.19975,0.0,0.0,4
0,36.79,-0.16373,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
0,48.59,0.0047721,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,63.33,0.21525,0.0,0.0,3
0,38.13,-0.14459,0.0,38.13,4
1,37.06,-0.15987,0.0,0.0,0
0,63.33,0.21525,0.0,0.0,4
0,37.6,-0.15216,0.0,0.0,4
0,37.33,-0.15602,0.0,0.0,4
1,63.33,0.21525,0.0,0.0,3
1,36.79,-0.16373,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,59.58,0.1617,0.0,0.0,3
1,52.07,0.054465,0.0,0.0,0
0,62.26,0.19997,0.0,0.0,4
1,61.99,0.19612,0.0,0.0,3
0,37.6,-0.15216,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,62.26,0.19997,0.0,0.0,3
1,61.99,0.19612,0.0,0.0,3
1,37.6,-0.15216,37.6,0.0,2
0,61.19,0.18469,0.0,0.0,4
0,61.73,0.19241,0.0,0.0,4
0,36.79,-0.16373,0.0,0.0,4
0,54.013,0.08221,0.0,0.0,4
0,36.53,-0.16744,0.0,0.0,4
0,59.58,0.1617,0.0,0.0,4
1,36.52,-0.16758,0.0,0.0,0
1,56.267,0.1144,0.0,0.0,0
0,63.33,0.21525,0.0,0.0,4
0,62.24,0.19969,0.0,0.0,4
0,62.53,0.20383,0.0,0.0,4
1,62.53,0.20383,0.0,0.0,3
1,60.12,0.16942,0.0,0.0,3
0,36.79,-0.16373,0.0,0.0,4
1,52.07,0.054465,0.0,0.0,0
0,62.26,0.19997,0.0,0.0,4
1,56.379,0.116,0.0,0.0,0
0,36.79,-0.16373,0.0,0.0,4
0,52.07,0.054465,0.0,0.0,4
1,52.07,0.054465,0.0,0.0,0
1,62.26,0.19997,0.0,0.0,3
0,63.33,0.21525,0.0,0.0,4
1,60.65,0.17698,0.0,0.0,3
1,36.79,-0.16373,0.0,0.0,0
1,37.06,-0.15987,0.0,0.0,0
0,14.54,-0.48145,0.0,0.0,4
0,4.2938,-0.62776,0.0,0.0,4
0,36.52,-0.16758,0.0,0.0,4
1,37.6,-0.15216,0.0,0.0,0
1,36.52,-0.16758,0.0,36.52,0
0,35.723,-0.17896,0.0,0.0,4
1,34.43,-0.19743,0.0,0.0,0
0,36.79,-0.16373,0.0,0.0,4
0,58.665,0.14864,0.0,0.0,4
0,37.33,-0.15602,0.0,0.0,4
0,62.53,0.20383,0.0,0.0,4
1,60.92,0.18084,0.0,0.0,3
0,63.33,0.21525,0.0,0.0,4
0,37.6,-0.15216,0.0,0.0,4
1,0.0,-0.68907,-62.26,-62.26,1
0,55.282,0.10033,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
0,61.99,0.19612,0.0,0.0,4
0,61.99,0.19612,0.0,0.0,4
0,52.07,0.054465,0.0,0.0,4
0,61.99,0.19612,0.0,0.0,4
0,15.08,-0.47374,0.0,0.0,4
0,63.33,0.21525,0.0,0.0,4
0,60.636,0.17678,0.0,0.0,4
1,47.638,-0.0088221,0.0,0.0,0
1,42.15,-0.087188,0.0,0.0,0
1,61.99,0.19612,0.0,0.0,3
0,60.12,0.16942,0.0,0.0,4
0,39.21,-0.12917,0.0,0.0,4
1,59.85,0.16556,0.0,0.0,3
0,62.26,0.19997,0.0,0.0,4
0,60.451,0.17414,0.0,0.0,4
0,57.97,0.13871,0.0,0.0,4
1,60.12,0.16942,0.0,0.0,3
0,61.99,0.19612,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
0,0.0,-0.68907,-37.33,-37.33,1
1,52.07,0.054465,0.0,0.0,0
0,0.0,-0.68907,-15.08,-15.08,1
1,38.13,-0.14459,0.0,0.0,0
1,34.982,-0.18954,0.0,0.0,0
1,38.745,-0.13581,0.0,0.0,0
0,49.062,0.011512,0.0,0.0,4
1,36.055,-0.17422,0.0,0.0,0
1,48.1,-0.0022249,0.0,0.0,0
0,62.26,0.19997,0.0,0.0,4
1,37.33,-0.15602,0.0,0.0,0
0,62.53,0.20383,0.0,0.0,4
0,62.53,0.20383,0.0,0.0,4
1,14.54,-0.48145,0.0,0.0,0
1,63.33,0.21525,0.0,0.0,3
1,37.6,-0.15216,0.0,0.0,0
0,60.92,0.18084,0.0,0.0,4
1,52.07,0.054465,0.0,0.0,0
0,0.0,-0.68907,0.0,0.0,0
1,63.07,0.21154,0.0,0.0,3
1,42.27,-0.085475,0.0,0.0,0
1,43.078,-0.073937,0.0,0.0,0
0,63.33,0.21525,0.0,0.0,4
0,59.58,0.1617,0.0,0.0,4
0,63.33,0.21525,0.0,0.0,4
0,36.79,-0.16373,0.0,0.0,4
1,60.12,0.16942,0.0,0.0,3
1,60.12,0.16942,0.0,0.0,3
1,0.0,-0.68907,-36.79,-36.79,1
1,62.26,0.19997,0.0,0.0,3
0,63.33,0.21525,0.0,0.0,4
1,62.26,0.19997,0.0,0.0,3
1,52.07,0.054465,0.0,0.0,0
0,36.79,-0.16373,0.0,0.0,4
1,62.53,0.20383,0.0,0.0,3
1,62.53,0.20383,0.0,0.0,3
0,62.53,0.20383,0.0,0.0,4
0,62.53,0.20383,0.0,0.0,4
1,55.29,0.10045,0.0,0.0,0
1,56.187,0.11325,0.0,0.0,0
1,50.73,0.03533,0.0,0.0,0
0,34.412,-0.19768,0.0,0.0,4
1,14.81,-0.47759,0.0,0.0,0
0,49.893,0.023378,0.0,0.0,4
0,50.73,0.03533,0.0,0.0,4
0,55.0,0.096304,0.0,0.0,4
1,63.33,0.21525,0.0,0.0,3
1,36.101,-0.17357,0.0,0.0,0
0,63.07,0.21154,0.0,0.0,4
1,59.58,0.1617,0.0,0.0,3
1,62.26,0.19997,0.0,0.0,3
0,37.33,-0.15602,0.0,0.0,4
1,53.95,0.081311,0.0,0.0,0
1,62.26,0.19997,0.0,0.0,3
1,62.53,0.20383,0.0,0.0,3
0,37.33,-0.15602,0.0,0.0,4
1,61.99,0.19612,0.0,0.0,3
1,63.07,0.21154,0.0,0.0,3
1,0.0,-0.68907,-52.07,-52.07,1
0,63.33,0.21525,0.0,0.0,4
0,58.77,0.15014,0.0,0.0,4
0,36.26,-0.1713,0.0,0.0,4
0,37.33,-0.15602,0.0,0.0,4
1,63.07,0.21154,0.0,0.0,3
0,55.113,0.097918,0.0,0.0,4
0,58.601,0.14773,0.0,0.0,4
0,52.07,0.054465,0.0,0.0,4
0,54.22,0.085166,0.0,0.0,4
1,61.19,0.18469,0.0,0.0,3
1,57.972,0.13874,0.0,0.0,0
1,62.26,0.19997,0.0,0.0,3
0,62.26,0.19997,0.0,0.0,4
0,47.976,-0.0039956,0.0,0.0,4
1,0.0,-0.68907,0.0,0.0,0
1,62.26,0.19997,0.0,0.0,3
1,59.85,0.16556,0.0,0.0,3
0,63.07,0.21154,0.0,0.0,4
1,48.694,0.0062572,0.0,0.0,0
0,37.6,-0.15216,0.0,0.0,4
0,0.0,-0.68907,-61.99,-61.99,1
0,61.252,0.18558,0.0,0.0,4
1,55.29,0.10045,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
0,52.07,0.054465,0.0,0.0,4
1,0.0,-0.68907,-37.6,-37.6,1
0,61.99,0.19612,0.0,0.0,4
0,63.87,0.22296,0.0,0.0,4
0,37.33,-0.15602,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,36.52,-0.16758,0.0,0.0,0
0,63.07,0.21154,0.0,0.0,4
1,61.99,0.19612,0.0,0.0,3
1,0.0,-0.68907,-52.07,-52.07,1
1,36.79,-0.16373,0.0,0.0,0
0,36.79,-0.16373,0.0,0.0,4
1,61.99,0.19612,0.0,61.99,3
1,62.53,0.20383,0.0,0.0,3
1,44.3,-0.056487,0.0,0.0,0
1,61.479,0.18882,0.0,0.0,3
0,61.99,0.19612,0.0,0.0,4
1,35.186,-0.18663,0.0,0.0,0
0,37.33,-0.15602,0.0,0.0,4
0,62.8,0.20769,0.0,0.0,4
1,59.85,0.16556,0.0,0.0,3
0,39.21,-0.12917,0.0,0.0,4
0,0.0,-0.68907,-37.33,-37.33,1
0,62.53,0.20383,0.0,0.0,4
0,61.19,0.18469,0.0,0.0,4
1,61.99,0.19612,0.0,0.0,3
0,57.132,0.12675,0.0,0.0,4
1,47.25,-0.014363,0.0,0.0,0
0,62.26,0.19997,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,55.65,0.10559,0.0,0.0,0
1,3.975,-0.63231,0.0,0.0,0
0,60.65,0.17698,0.0,0.0,4
0,63.33,0.21525,0.0,0.0,4
0,45.791,-0.035196,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,56.695,0.12051,0.0,0.0,0
1,62.26,0.19997,0.0,0.0,3
1,22.415,-0.369,0.0,0.0,0
0,38.13,-0.14459,0.0,0.0,4
1,61.99,0.19612,0.0,0.0,3
1,52.07,0.054465,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,40.81,-0.10632,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
0,36.79,-0.16373,0.0,0.0,4
0,62.26,0.19997,0.0,0.0,4
0,36.79,-0.16373,0.0,0.0,4
1,47.25,-0.014363,0.0,0.0,0
1,61.99,0.19612,0.0,0.0,3
0,36.53,-0.16744,0.0,0.0,4
1,52.07,0.054465,0.0,0.0,0
1,50.717,0.035145,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
0,59.844,0.16547,0.0,0.0,4
0,62.53,0.20383,0.0,0.0,4
0,36.53,-0.16744,0.0,0.0,4
0,59.226,0.15665,0.0,0.0,4
1,42.027,-0.088945,0.0,0.0,0
0,36.79,-0.16373,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
0,39.47,-0.12546,0.0,0.0,4
0,59.443,0.15975,0.0,0.0,4
0,61.785,0.19319,0.0,0.0,4
1,61.19,0.18469,0.0,0.0,3
1,39.591,-0.12373,0.0,0.0,0
1,60.65,0.17698,0.0,0.0,3
0,61.99,0.19612,0.0,0.0,4
1,61.72,0.19226,0.0,0.0,3
0,47.78,-0.0067944,0.0,0.0,4
0,18.496,-0.42496,0.0,0.0,4
0,39.21,-0.12917,0.0,0.0,4
0,62.26,0.19997,0.0,0.0,4
1,59.58,0.1617,0.0,0.0,3
1,36.52,-0.16758,0.0,0.0,0
0,61.99,0.19612,0.0,0.0,4
0,36.79,-0.16373,0.0,0.0,4
1,63.07,0.21154,0.0,0.0,3
1,37.06,-0.15987,0.0,0.0,0
1,62.53,0.20383,0.0,0.0,3
1,37.87,-0.14831,0.0,0.0,0
0,36.52,-0.16758,0.0,0.0,4
1,63.07,0.21154,0.0,0.0,3
1,52.07,0.054465,52.07,0.0,2
1,38.13,-0.14459,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
0,56.1,0.11201,0.0,0.0,4
1,54.246,0.085537,0.0,0.0,0
0,63.33,0.21525,0.0,0.0,4
0,62.26,0.19997,0.0,0.0,4
0,62.26,0.19997,0.0,0.0,4
0,62.53,0.20383,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,56.15,0.11273,0.0,0.0,0
1,36.52,-0.16758,0.0,0.0,0
0,39.74,-0.1216,0.0,0.0,4
0,46.18,-0.029642,0.0,0.0,4
0,55.968,0.11013,0.0,0.0,4
1,36.352,-0.16998,0.0,0.0,0
0,62.26,0.19997,0.0,0.0,4
1,36.79,-0.16373,0.0,0.0,0
1,62.26,0.19997,0.0,0.0,3
1,56.659,0.11999,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
0,60.83,0.17955,0.0,0.0,4
0,57.17,0.12729,0.0,0.0,4
1,52.34,0.058321,0.0,0.0,0
0,62.53,0.20383,0.0,0.0,4
1,61.99,0.19612,0.0,0.0,3
1,57.97,0.13871,0.0,0.0,0
0,3.5812,-0.63794,0.0,0.0,4
0,37.33,-0.15602,0.0,0.0,4
1,61.99,0.19612,0.0,0.0,3
0,37.87,-0.14831,0.0,0.0,4
0,0.0,-0.68907,-61.99,-61.99,1
0,62.26,0.19997,0.0,0.0,4
0,61.99,0.19612,0.0,0.0,4
1,60.431,0.17386,0.0,0.0,3
0,37.33,-0.15602,0.0,0.0,4
1,62.769,0.20724,0.0,0.0,3
1,62.26,0.19997,0.0,0.0,3
1,37.33,-0.15602,0.0,0.0,0
0,60.65,0.17698,0.0,60.65,4
0,52.07,0.054465,0.0,0.0,4
0,0.0,-0.68907,-57.949,-60.38,1
1,61.99,0.19612,0.0,0.0,3
