Occupancy,P(t),Norm_P(t),P(t)-P(t+1),P(t)-P(t-1),label
0,55.47,0.0010374,0.0,0.0,4
0,19.51,-0.0010997,0.0,0.0,4
0,17.55,-0.0012162,0.0,0.0,4
1,16.06,-0.0013048,0.0,0.0,0
1,149.87,0.0066475,0.0,0.0,3
0,14.96,-0.0013701,0.0,0.0,4
0,15.86,-0.0013167,0.0,0.0,4
1,16.71,-0.0012661,0.0,0.0,0
0,16.05,-0.0013054,0.0,0.0,4
0,0.0,-0.0022592,0.0,-15.97,2
1,17.22,-0.0012358,0.0,0.0,0
0,20.34,-0.0010504,0.0,0.0,4
0,60.86,0.0013577,0.0,0.0,4
0,18.57,-0.0011556,0.0,0.0,4
0,14.84,-0.0013773,0.0,0.0,4
0,104.35,0.0039423,0.0,0.0,3
0,19.51,-0.0010997,0.0,19.51,4
0,18.21,-0.001177,0.0,0.0,4
1,16.07,-0.0013042,0.0,0.0,0
1,17.17,-0.0012388,0.0,0.0,0
0,21.67,-0.00097137,0.0,0.0,4
0,16.73,-0.0012649,0.0,0.0,4
0,59.75,0.0012917,0.0,0.0,4
0,18.23,-0.0011758,0.0,0.0,4
0,55.98,0.0010677,0.0,0.0,4
0,164.37,0.0075092,0.0,0.0,3
1,23.62,-0.00085548,0.0,0.0,0
0,17.83,-0.0011996,0.0,0.0,4
0,0.0,-0.0022592,0.0,-15.3,2
1,15.48,-0.0013392,0.0,0.0,0
0,17.34,-0.0012287,0.0,0.0,4
1,62.22,0.0014385,0.0,0.0,0
0,14.82,-0.0013785,0.0,0.0,4
0,0.0,-0.0022592,-67.58,0.0,1
0,146.53,0.006449,0.0,0.0,3
1,13.93,-0.0014314,0.0,0.0,0
0,21.56,-0.0009779,0.0,0.0,4
0,46.22,0.00048763,0.0,0.0,4
0,14.81,-0.0013791,0.0,0.0,4
1,15.87,-0.0013161,0.0,0.0,0
0,15.1,-0.0013618,0.0,0.0,4
0,16.88,-0.001256,0.0,0.0,4
0,17.65,-0.0012103,0.0,0.0,4
0,15.5,-0.001338,0.0,0.0,4
0,15.61,-0.0013315,0.0,0.0,4
0,18.39,-0.0011663,0.0,0.0,4
1,14.53,-0.0013957,0.0,0.0,0
1,16.35,-0.0012875,0.0,16.35,0
0,22.37,-0.00092977,0.0,0.0,4
1,15.61,-0.0013315,0.0,0.0,0
0,17.93,-0.0011936,0.0,0.0,4
0,17.49,-0.0012198,0.0,0.0,4
1,17.54,-0.0012168,0.0,0.0,0
0,15.28,-0.0013511,0.0,0.0,4
0,14.98,-0.001369,0.0,0.0,4
0,16.25,-0.0012935,0.0,0.0,4
0,57.93,0.0011835,0.0,0.0,4
1,55.71,0.0010516,0.0,0.0,0
0,15.72,-0.001325,0.0,15.72,4
0,15.98,-0.0013095,0.0,0.0,4
0,161.8,0.0073565,0.0,0.0,3
0,16.9,-0.0012548,0.0,0.0,4
0,20.36,-0.0010492,0.0,0.0,4
0,14.45,-0.0014004,0.0,0.0,4
1,16.59,-0.0012733,0.0,0.0,0
1,20.01,-0.00107,0.0,0.0,0
0,16.23,-0.0012947,0.0,0.0,4
0,16.64,-0.0012703,0.0,0.0,4
0,22.25,-0.0009369,0.0,0.0,4
0,15.82,-0.001319,0.0,0.0,4
0,57.15,0.0011372,0.0,0.0,4
0,59.73,0.0012905,0.0,59.73,4
0,17.68,-0.0012085,0.0,0.0,4
0,14.74,-0.0013832,0.0,0.0,4
0,156.29,0.007029,0.0,0.0,3
0,15.18,-0.0013571,0.0,0.0,4
0,16.54,-0.0012762,0.0,0.0,4
1,0.0,-0.0022592,-14.87,0.0,1
0,17.27,-0.0012329,0.0,0.0,4
0,62.09,0.0014308,0.0,0.0,4
0,15.6,-0.0013321,0.0,0.0,4
0,13.77,-0.0014409,13.77,0.0,4
1,19.93,-0.0010748,19.93,0.0,0
0,0.0,-0.0022592,-60.76,0.0,1
1,33.46,-0.00027069,0.0,0.0,0
0,52.92,0.00088581,0.0,0.0,4
0,66.68,0.0017036,0.0,0.0,4
0,0.0,-0.0022592,-15.67,0.0,1
1,55.55,0.0010421,0.0,0.0,0
0,18.43,-0.0011639,0.0,0.0,4
1,16.27,-0.0012923,0.0,0.0,0
0,115.75,0.0046198,0.0,0.0,3
0,100.87,0.0037355,0.0,100.87,3
0,16.56,-0.0012751,0.0,0.0,4
1,0.0,-0.0022592,0.0,-14.86,2
0,18.45,-0.0011627,0.0,0.0,4
0,15.3,-0.0013499,0.0,0.0,4
1,17.65,-0.0012103,0.0,0.0,0
0,134.44,0.0057305,134.44,0.0,3
0,44.72,0.00039848,0.0,0.0,4
0,17.76,-0.0012037,0.0,0.0,4
0,17.19,-0.0012376,0.0,0.0,4
0,24.41,-0.00080853,0.0,0.0,4
0,17.58,-0.0012144,0.0,0.0,4
0,0.0,-0.0022592,0.0,-53.7,2
0,16.22,-0.0012953,0.0,0.0,4
0,13.8,-0.0014391,0.0,0.0,4
0,120.46,0.0048997,0.0,0.0,3
0,16.85,-0.0012578,0.0,0.0,4
0,74.25,0.0021534,0.0,0.0,4
0,17.17,-0.0012388,0.0,0.0,4
1,15.45,-0.001341,0.0,0.0,0
1,18.01,-0.0011889,0.0,0.0,0
1,0.0,-0.0022592,0.0,-215.71,2
1,15.81,-0.0013196,0.0,0.0,0
0,19.52,-0.0010991,0.0,0.0,4
1,109.45,0.0042454,0.0,0.0,3
0,0.0,-0.0022592,0.0,-15.11,2
0,15.89,-0.0013149,0.0,0.0,4
1,15.62,-0.0013309,0.0,0.0,0
1,21.53,-0.00097969,0.0,0.0,0
0,0.0,-0.0022592,-16.62,0.0,1
1,59.09,0.0012525,0.0,0.0,0
0,158.75,0.0071752,0.0,158.75,3
1,37.88,-8.014e-06,0.0,0.0,0
1,0.0,-0.0022592,0.0,-102.57,2
0,18.07,-0.0011853,0.0,0.0,4
0,19.68,-0.0010896,0.0,0.0,4
0,15.14,-0.0013594,0.0,0.0,4
0,15.78,-0.0013214,0.0,0.0,4
1,18.43,-0.0011639,0.0,0.0,0
1,60.68,0.001347,0.0,0.0,0
0,18.16,-0.00118,0.0,0.0,4
1,56.25,0.0010837,0.0,0.0,0
0,17.68,-0.0012085,0.0,0.0,4
1,11.55,-0.0015728,0.0,0.0,0
0,19.58,-0.0010956,0.0,0.0,4
0,20.11,-0.0010641,0.0,0.0,4
0,18.33,-0.0011699,0.0,0.0,4
0,18.22,-0.0011764,0.0,0.0,4
1,42.46,0.00026417,0.0,0.0,0
0,32.49,-0.00032834,0.0,0.0,4
0,101.24,0.0037574,0.0,0.0,3
