Occupancy,P(t),Norm_P(t),P(t)-P(t+1),P(t)-P(t-1),label
1,0.0,-0.68907,0.0,0.0,0
1,55.29,0.10045,0.0,0.0,0
1,39.21,-0.12917,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,43.74,-0.064484,0.0,0.0,0
1,43.406,-0.069253,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,39.47,-0.12546,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,24.678,-0.33668,0.0,0.0,0
1,50.73,0.03533,0.0,0.0,0
1,50.73,0.03533,0.0,0.0,0
1,39.47,-0.12546,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,47.25,-0.014363,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,42.15,-0.087188,0.0,0.0,0
1,56.773,0.12162,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,45.1,-0.045064,0.0,0.0,0
1,37.646,-0.1515,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,43.5,-0.067911,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,52.07,0.054465,0.0,52.07,0
1,37.33,-0.15602,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,36.26,-0.1713,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,14.81,-0.47759,0.0,14.81,0
1,37.6,-0.15216,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,51.895,0.051966,0.0,0.0,0
1,45.442,-0.04018,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,43.49,-0.068054,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,57.505,0.13207,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,36.52,-0.16758,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,48.59,0.0047721,0.0,0.0,0
1,54.22,0.085166,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,15.61,-0.46617,0.0,0.0,0
1,39.47,-0.12546,0.0,0.0,0
1,42.982,-0.075308,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,28.483,-0.28235,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,50.73,0.03533,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,39.47,-0.12546,0.0,0.0,0
1,40.55,-0.11004,0.0,0.0,0
1,45.377,-0.041108,0.0,0.0,0
1,57.17,0.12729,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,52.472,0.060205,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,45.64,-0.037353,0.0,0.0,0
1,20.355,-0.39841,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,49.716,0.020851,0.0,0.0,0
1,52.313,0.057935,0.0,0.0,0
1,49.771,0.021636,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
0,0.0,-0.68907,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,37.6,-0.15216,0.0,37.6,0
1,36.79,-0.16373,0.0,0.0,0
1,54.75,0.092734,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,56.1,0.11201,0.0,0.0,0
1,44.3,-0.056487,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,40.55,-0.11004,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,52.558,0.061434,0.0,0.0,0
1,56.847,0.12268,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,57.574,0.13306,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,40.55,-0.11004,0.0,0.0,0
1,57.97,0.13871,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,36.53,-0.16744,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,41.89,-0.090901,0.0,0.0,0
1,46.704,-0.022159,0.0,0.0,0
1,48.59,0.0047721,0.0,0.0,0
1,38.13,-0.14459,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,56.847,0.12268,0.0,0.0,0
1,48.32,0.0009166,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,36.53,-0.16744,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
0,0.0,-0.68907,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,53.95,0.081311,0.0,0.0,0
1,56.083,0.11177,0.0,0.0,0
0,0.0,-0.68907,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,37.06,-0.15987,0.0,0.0,0
1,45.751,-0.035768,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
1,57.44,0.13115,0.0,0.0,0
0,0.0,-0.68907,0.0,0.0,0
1,38.13,-0.14459,0.0,0.0,0
1,14.01,-0.48902,0.0,0.0,0
1,53.68,0.077455,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,37.06,-0.15987,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,43.139,-0.073066,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,42.441,-0.083033,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,52.34,0.058321,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
1,44.3,-0.056487,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,46.18,-0.029642,0.0,0.0,0
0,0.0,-0.68907,0.0,0.0,0
1,44.3,-0.056487,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
1,44.124,-0.059001,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,35.888,-0.17661,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,53.68,0.077455,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,57.17,0.12729,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,57.97,0.13871,0.0,0.0,0
1,38.13,-0.14459,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,44.262,-0.05703,0.0,0.0,0
1,41.198,-0.10078,0.0,0.0,0
1,40.052,-0.11715,0.0,0.0,0
1,42.135,-0.087403,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,40.38,-0.11246,0.0,0.0,0
1,16.317,-0.45607,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,44.082,-0.0596,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,3.4451,-0.63988,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,49.325,0.015268,0.0,0.0,0
1,57.44,0.13115,0.0,0.0,0
1,53.68,0.077455,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,37.87,-0.14831,0.0,0.0,0
1,43.49,-0.068054,0.0,43.49,0
1,52.07,0.054465,0.0,0.0,0
1,56.1,0.11201,0.0,0.0,0
1,45.542,-0.038752,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,50.681,0.034631,0.0,0.0,0
1,56.1,0.11201,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,36.52,-0.16758,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,36.52,-0.16758,0.0,0.0,0
1,37.649,-0.15146,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,48.32,0.0009166,0.0,0.0,0
1,39.21,-0.12917,0.0,0.0,0
1,28.966,-0.27545,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,14.01,-0.48902,0.0,0.0,0
1,0.0,-0.68907,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,57.97,0.13871,0.0,0.0,0
1,29.711,-0.26481,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,57.17,0.12729,0.0,0.0,0
1,27.112,-0.30193,0.0,0.0,0
1,40.55,-0.11004,0.0,0.0,0
1,18.058,-0.43121,0.0,0.0,0
1,53.68,0.077455,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,43.848,-0.062942,0.0,0.0,0
1,14.81,-0.47759,0.0,0.0,0
1,46.44,-0.025929,0.0,0.0,0
1,38.13,-0.14459,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,48.517,0.0037297,0.0,0.0,0
1,28.554,-0.28133,0.0,0.0,0
1,18.053,-0.43128,0.0,18.053,0
1,46.327,-0.027543,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,52.649,0.062733,0.0,0.0,0
1,38.13,-0.14459,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,52.07,0.054465,0.0,0.0,0
1,37.06,-0.15987,0.0,0.0,0
1,49.074,0.011683,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,36.79,-0.16373,0.0,0.0,0
1,37.33,-0.15602,0.0,0.0,0
1,38.13,-0.14459,0.0,0.0,0
1,39.47,-0.12546,0.0,0.0,0
1,37.6,-0.15216,0.0,0.0,0
1,15.08,-0.47374,0.0,0.0,0
